year,total_researchers_who_have_published_on_ar_xiv,datasphere_size,amount_of_funding
1993,12,NA,NA
1994,41,NA,NA
1995,86,NA,NA
1996,353,NA,NA
1997,591,NA,NA
1998,762,NA,NA
1999,874,NA,NA
2000,1179,NA,NA
2001,1336,NA,NA
2002,1583,NA,NA
2003,1822,NA,NA
2004,2171,NA,NA
2005,2539,NA,NA
2006,3071,NA,NA
2007,3703,NA,NA
2008,4634,0.3,NA
2009,6049,0.4,327743567
2010,7987,0.5,1322936191
2011,10950,0.5,5037313211
2012,15427,0.5,6660600816
2013,20814,0.5,3915348491
2014,27561,1,7921081770
2015,36251,1.5,8980869650
2016,49887,2.5,17852353256
2017,69093,3.5,22886732759
2018,98651,5,40429139269
2019,135789,7,37439068044
2020,NA,9.5,NA
2021,NA,13,NA
2022,NA,18,NA
2023,NA,25,NA
2024,NA,35.5,NA
2025,NA,51,NA
