date,year,perplexity,algorithm,data-mb,compute (pfs),parameters-m,Comments
2012-04-07,2012.33,78.8,KN5+RNNME ensemble,5,NA,NA,NA
2012-07-27,2012.6,74.1,RNN-LDA+all,5,NA,NA,NA
2014-09-08,2014.67,68.7,RNN Dropout Regularization,5,0.0012,NA,NA
2016-10-27,2016.83,66,RHN+WT,5,NA,24,NA
2017-02-15,2017.17,62.4,Neural Architecture Search,5,16,54,NA
2018-02-10,2018.17,55.8,ENAS,5,0.0016,24,NA
2018-03-02,2018.25,47.67,AWD-LSTM-MOS+de,5,NA,22,NA
2018-09-18,2018.75,46.54,FRAGE,5,NA,24,NA
2019-02-14,2019.17,35.76,GPT2 (zero shot),40000,250,1500,NA
2019-10-17,NA,31.3,BERT-Large-CAS,NA,NA,395,NA
2020-06-05,2020.43,20.5,GPT3 (zero shot),NA,3640,175000,NA
