date,overall_petaflop_days,result
2012-06-01T00:00:00Z,0.005787540000000001,AlexNet
2012-07-03T00:00:00Z,0.0021312,Dropout
2013-11-12T00:00:00Z,0.00615384,Visualizing and Understanding Conv Nets
2014-06-01T00:00:00Z,0.006,GANs
2014-09-10T00:00:00Z,0.09324,Seq2Seq
2014-09-04T00:00:00Z,0.098,VGG
2015-12-08T00:00:00Z,0.24,DeepSpeech2
2015-12-10T00:00:00Z,0.12053333333333335,ResNets
2016-09-25T00:00:00Z,79.42774259317446,Neural Machine Translation
2016-10-07T00:00:00Z,5.214779999999999,Xception
2017-10-19T00:00:00Z,1862,AlphaGoZero
2017-12-05T00:00:00Z,420,AlphaZero
